172788,1489,1500,1,1,1,0,0,1,3,2,17,0,0
8881,1485,1500,1,1,0,0,1,0,0,0,0,0,0
106763,1491,1500,1,1,1,0,0,10,4,6,44,1,10
149654,1485,1500,1,1,0,0,1,0,0,0,0,0,0
121678,1488,1500,1,1,0,0,1,0,0,0,0,0,0
47335,1485,1500,1,1,1,0,0,10,6,10,26,5,0
45107,1490,1500,1,1,1,0,0,0,6,9,16,0,0
174696,1491,1500,1,1,0,1,0,0,5,3,11,1,2
170917,1509,1509,1,0,1,0,0,8,4,18,41,5,0
169246,1486,1500,1,0,0,1,0,0,16,2,5,0,0
103418,1484,1500,1,1,0,1,0,7,14,7,119,5,45
32024,1490,1500,2,1,0,1,1,4,5,7,59,1,3
2319,1490,1500,2,0,0,1,1,6,6,3,35,0,3
116704,1520,1520,2,0,2,0,0,18,16,16,335,32,130
70796,1584,1592,9,1,7,1,1,81,34,86,533,29,255
