6300,Jinx
6300,Lulu
6300,Lucian
6300,Syndra
6300,Nami
6300,Graves
6300,Viktor
6300,Ahri
6300,Ziggs
6300,Xerath
6300,Varus
6300,Draven
6300,Kha'Zix
6300,Lissandra
6300,Zyra
4800,Cassiopeia
4800,Vayne
4800,Caitlyn
4800,Ezreal
4800,Leona
4800,Galio
4800,Maokai
4800,Brand
4800,Kog'Maw
4800,Vladimir
4800,Kennen
4800,Orianna
4800,Malzahar
3150,Heimerdinger
3150,Akali
3150,Urgot
3150,Shaco
3150,Karthus
3150,Corki
3150,LeBlanc
3150,Sona
3150,Kassadin
3150,Lux
3150,Nidalee
3150,Katarina
3150,Miss Fortune
3150,Anivia
3150,Karma
3150,Twitch
1350,Janna
1350,Zilean
1350,Twisted Fate
1350,Morgana
1350,Evelynn
1350,Tristana
1350,Teemo
1350,Cho'Gath
1350,Veigar
1350,Fiddlesticks
1350,Amumu
1350,Alistar
450,Sivir
450,Soraka
450,Ashe
450,Annie
